"Chocolate Covered Strawberries","Everyone loves chocolate-covered fruit, right? Make your own chocolate-covered strawberries simply and quickly with this recipe.","4.8","false","15 mins"
"Too Much Chocolate Cake","Start with a box of chocolate cake mix and add a few ingredients like sour cream and chocolate chips to make a moist, intensely-flavored chocolate cake that will win you First Prize from your friends and family.","4.78","false"," 1"
"Apple Crumble Pie","Yummy variety of apple pie that is quick and easy. It was a hit with my boyfriend's pals in university whenever I made this favorite!","4.69","false","30 mins"
"test","test","2","true","10"
"Supreme Strawberry Topping","Awesome restaurant-style strawberry topping. Serve cold over cheesecake or ice cream.","4.8","false","15 mins"
"Chocolate Chocolate Chip Cookies I","These cookies are great...you get a double dose of chocolate! My kids love them.","4.73","false","15 mins"
